🦆,Song,Artist,Score,Year,F. Genre(s),B. Genre(s),All descriptors,Comments,BM,Language,Alt. Song Name(s),Alt. Artist Name(s),Notes,Attributes,Owned,Mixtape(s),Added,Conc,ID,Count,A+C,D#,Y#,CI,BC,TC,ID Explanation (for the ones that aren't immediately evident from the song or artist name)
✓,Fast Car,Tracy Chapman,4.6,1988,Folk Pop; Singer-Songwriter,Folk Pop; Singer-Songwriter; Contemporary Folk,bittersweet; soft; melancholic; nostalgic; introspective; sunset; urban; passionate; relaxation; calm; conscious; sad; soothing; sulking; breakup; love; narrative; yearning; grief,"It's difficult to write about this song because it's really tempting to just let it speak for itself because what the hell could I even say? I almost just want to say ""Damn, this is raw"" and leave it at that. It's just so devastatingly honest and real that it's almost intimidating, like spilling your heart out to a crowd. But there's a great solace in Fast Car's sincerity, in embracing a less glamorized take on the human condition: the struggle of having ambition and optimism against all odds, of letting old flames burn you out in the end, of the grueling uncertainties latent within slow, incremental success. And all without an outright uplifting message typically found within a pop song, just a mere hint that there maybe could be a way out. This song is nothing but an open heart, pure and honest; it's not heartless to not like it (though I will give you the side eye), but I feel it is heartless to outright hate it, like actively mocking someone at their most honest and vulnerable","""And I-I, had a feeling that I belonged. I-I had a feeling I could be someone, be someone, be someone""",English,,,,,$-download,Mx: Songs for a Wichita Lineman,2020-12-31,Tracy Chapman - Fast Car,,00029,2020-12-31 00029,1,1,,#ffe599,#000000,
✓,Fast Car,Jim O'Rourke,4.4,2002,Drone; Chamber Folk; Ambient,Drone; Chamber Folk; Ambient; Experimental; Contemporary Folk,bittersweet; progressive; ethereal; melancholic; epic; nostalgic; introspective; surreal; dense; sulking; sad; somber; sunset; soft; soothing; relaxation; conscious; breakup,"Takes the undertones of deep sadness and existential dread latent within the Tracy Chapman original and turns them into overtones. Jim takes the fast car and drives into an immaterial highway of floating, bittersweet memories","About 24 minutes in, when the normal part of the song finally comes back into focus after the transcendent drone wall",English,,,,[✓dl*],$-download,,2023-04-28,Jim O'Rourke - Fast Car,,00030,2023-04-28 00030,1,1,1,#bf9000,#fce5cd,
✓,I Gotta Feeling,Black Eyed Peas,4.6,2009,Dance-Pop; Electropop,Dance-Pop; Electropop; Electronic,optimistic; party; anthemic; adventure; happy; fun; celebration; uplifting; urban night; resolute; epic; triumphant; catchy; repetitive; futuristic; bright,"Of all the trashy club hits from the late 2000s to early 2010s, THIS is the one that has aged the best. There's just an ethereal grandeur, a sense of purity, of absolute truth in this song's wild optimism for just one single night that is unmatched by any other songs of its kind. The closest matchups are perhaps Jay Sean's ""Down"" and Pitbull's ""Give Me Everything"", though even those contain undertones of deep sadness and existential dread (""down like the economy"" & ""we might not get tomorrow"") that this paean to liberation and love simply isn't shackled by","From 2:44 onward, when that background synth comes in and starts taking everything to high heaven, all culminating in will.i.am's ""Here we come, here we go"" verse. One of the most truly epic moments in all of pop music, and I'm surprised how anyone can possibly write this off as being a generic club banger when the execution of this powerful, immense buildup is practically peerless",English,,,,,$-GPM,,2020-12-31,Black Eyed Peas - I Gotta Feeling,,00031,2020-12-31 00031,1,1,1,#000000,#00ff00,
✓,#3,Aphex Twin,4.5,1994,Ambient; Electronic,Ambient; Electronic,ECM Style; lethargic; soothing; sparse; peaceful; melancholic; relaxation; soft; sunset; calm; ethereal; bittersweet; pastoral; nature; low energy,"Never has a song captured the essence of stillness like this one. The world spins on as it always does, even for those immersed in a great melancholy, but it truly does feel like it's slowed to a halt whenever this is on. To sunrises, sunsets, and all the quiet times spent half-awake reflecting on everything",When the new melody arrives at around 3:10,Instrumental,Rhubarb; [untitled],,,,$-bandcamp,Mx: Paradise Valley,2020-12-31,Aphex Twin - #3,,00032,2020-12-31 00032,HM,1,2,#783f04,#f9cb9c,
✓,Unfinished Sympathy,Massive Attack,4.5,1991,Trip Hop,Trip Hop; Downtempo; Electronic,epic; passionate; yearning; love; lush; melancholic; poetic; bittersweet; urban; resolute; uplifting; anthemic; sensual,"Music from the deepest recesses of the soul. In an oddly fitting sacrifice, they apparently had to sell their car to afford those strings. Just based on this song, it was worth it","""Like a soul without a mind in a body without a heart. I'm missing every part"" + The string section in general",English,,,,,$-iTunes,,2020-12-31,Massive Attack - Unfinished Sympathy,,00033,2020-12-31 00033,1,1,1,#f6b26b,#000000,
✓,Suzanne,Leonard Cohen,4.6,1967,Singer-Songwriter; Contemporary Folk,Singer-Songwriter; Contemporary Folk,soft; poetic; calm; melancholic; introspective; Autumn; soothing; relaxation; peaceful; forest; love; sparse; philosophical; nature; aquatic; low energy,"Not to discredit the instrumental, which is in itself enrapturing and beautifully tender, but this song is a great testament to the power of lyrics in conjuring a singular atmosphere. ""Suzanne"" (the song and the person) feels like a mysterious forest of ancient knowledge where you could get lost for hours. Makes the world of the unknown seem calm and inviting. And I wouldn't even call this the best love song but no lyricist but Leonard Cohen could pull off a lyric comparing their lover to Jesus Christ so elegantly","""And Jesus was a sailor when he walked upon the water. And he spent a long time watching from his lonely wooden tower. And when he knew for certain only drowning men could see him, he said 'All men will be sailors then until the sea shall free them.' But he himself was broken long before the sky would open. Forsaken, almost human. He sank beneath your wisdom like a stone."" I just can't overstate how perfect this passage is",English,,,,,$-iTunes,,2020-12-31,Leonard Cohen - Suzanne,,00034,2020-12-31 00034,,,,#000000,#f6b26b,
✓,I Want You Back,Jackson 5,4.6,1969,Motown Sound; B–bblegum,Motown Sound; B–bblegum; Pop Soul; R&B,catchy; love; passionate; breakup; lush; uplifting; yearning; sunny day; happy; fun; party; optimistic; resolute; celebration; twee; anthemic; bright,"Pop music's biggest miracle, being the only song lucky enough to have young MJ's vocals and that godlike bassline together in one bright, bubblegum-flavored package. Immortal in just how much pop writers aspire to capture even a fraction of the rush this song provides for three minutes","""ALL I WANT! ALL I NEEEEEEEEEEED!"" + That fucking bassline",English,,,,,$-CD Rip - V/A Motown 1*s,,2020-12-31,Jackson 5 - I Want You Back,,00035,2020-12-31 00035,,,,#0c343d,#ffd966,
✓,A Change Is Gonna Come,Sam Cooke,4.6,1964,Deep Soul; Southern Soul,Deep Soul; Southern Soul; R&B,passionate; lush; melancholic; optimistic; conscious; yearning; existential; bittersweet; uplifting; epic; anthemic; resolute; soft; relaxation; political; urban; introspective,"Genre tagged as ""Deep Soul,"" which feels like a MASSIVE understatement","""It's been too hard livin', but I'm afraid to die. 'Cause I don't know what's up there beyond the sky""",English,,,,,$-iTunes,,2020-12-31,Sam Cooke - A Change Is Gonna Come,,00036,2020-12-31 00036,,,,#ff0000,#ffffff,
✓,God Only Knows,Beach Boys,4.6,1966,Baroque Pop; Sunshine Pop,Baroque Pop; Sunshine Pop,lush; love; starry night; bittersweet; ethereal; epic; yearning; celebration; passionate; anthemic; melancholic; uplifting; optimistic; sunset; introspective; Summer; ballad,"An orchestra of stars, with a coda of harmonies that fall like a meteor shower","The coda with the onslaught of ""God only knows what I'd be without you""s",English,,,,,$-iTunes,,2020-12-31,Beach Boys - God Only Knows,,00037,2020-12-31 00037,,,,#408e52,#ffff00,
✓,Starálfur,Sigur Rós,4.5,1999,Chamber Pop; Chamber Music; Dream Pop; Post-Rock,Chamber Pop; Chamber Music; Dream P0p; Post-Rock; Indie Pop; Western Classical; Alternative Rock,epic; fantasy; uplifting; ethereal; starry night; lush; soothing; progressive; poetic; passionate; melancholic; triumphant; adventure; happy; bittersweet; peaceful; Winter; nostalgic; surreal; space; celebration; optimistic; narrative; aerial,"If you ever needed one song to make you feel like a kid in an animated film who's been briefly whisked away to a beautiful other world, this is the one to do it. Just imagine Jónsi's child having THIS song sung to them as a late night fairytale, with strings and all (somehow, he can just summon them at will and play them with his mind, no other people required). It's like you're already dreaming before you've even gone to sleep","4:10 to 5:30, as everything rises up",Icelandic,,,,,$-iTunes,,2020-12-31,Sigur Rós - Starálfur,,00038,2020-12-31 00038,1,1,1,#134f5c,#ffffff,
✓,Vigilante,Willie Colón; Héctor Lavoe,4.6,1983,Salsa dura; Latin Jazz,Salsa dura; Latin Jazz; Hispanic American Music; Hispanic Music; Regional Music,epic; adventure; progressive; lush; fight song; passionate; resolute; energetic; urban; optimistic; celebration; triumphant; sunny day; violence; protest; hot; Summer; desert,"A call to arms in salsa form. The sound of cowboys riding into eternal glory, standing proud as one of the grandest and mightiest songs I've ever heard","The instrumental breakdown from 7:27 to 8:40, as the salsa band, the strings, the sax, the choir, etc. all perform with their eyes towards heaven",Spanish,,,,[collab],,,2022-01-04,Willie Colón; Héctor Lavoe - Vigilante,,00039,2022-01-04 00039,1,1,,#000000,#cc4125,
✓,One More Time,Daft Punk,4.5,2000,French House,French House; EDM; Dance; Electronic,party; uplifting; celebration; rhythmic; happy; glamorous; epic; repetitive; urban night; triumphant; passionate; bittersweet; lush; optimistic; futuristic; bright,"The best, most uplifting possible melody and lyric you could possibly choose to repeat over and over, on top of an instrumental equivalent to rivers of technicolor and fizzy, carbonated triumph. A legendary New Year's Eve party with people you're not sure you'll ever see again, but for now you're in complete harmony. + Sidenote: Daft Punk's ""One More Time"", Stardust's ""Music Sounds Better With You"", and Together's ""So Much Love to Give"" are all just the mission statements of French House, right from their very names","At 4:17, when the beat comes back in FULL force",English,,,,,$-GPM,,2020-12-31,Daft Punk - One More Time,5555,00040,2020-12-31 00040,1,1,1,#000000,#00ffff,"From the album 'Discovery', which was visually accompanied by a musical anime film called 'Interstella 5555: The 5tory of the 5ecret 5tar 5ystem'"
✓,Carry Me Ohio,Sun Kil Moon,4.6,2003,Folk Rock; Singer-Songwriter,F0lk Rock; Singer-Songwriter,melancholic; pastoral; sunset; introspective; nostalgic; yearning; grief; nature; relaxation; sad; death; lonely; love; breakup; poetic; soft; bittersweet; soothing; calm; passionate; Autumn; Spring; ballad; mountains,"The ultimate ""kicking back while watching a beautiful sunset"" song. Vast, unending fields of orange and gold. Also manages the impressive task at making Ohio sound profoundly beautiful","Chorus: ""Heal her soul. Carry her, my aaaaaangel, Ooooohiiiiiooo""",English,,,,,$-vinyldl,Mx: Gold Ranch,2020-12-31,Sun Kil Moon - Carry Me Ohio,,00041,2020-12-31 00041,1,1,1,#783f04,#f9cb9c,
✓,Duk Koo Kim,Sun Kil Moon,4.5,2003,Slowcore; Folk Rock; Singer-Songwriter; Dream Pop,Slowcore; F0lk Rock; Singer-Songwriter; Dream P0p; Indie Rock; Alternative Rock,melancholic; death; epic; progressive; sunset; introspective; nostalgic; sad; soft; love; sulking; somber; bittersweet; poetic; soothing; calm; passionate; relaxation; pastoral; Autumn; Spring; uplifting; grief; yearning; narrative,"A songwriter's odyssey of death, lost love, and finding a reason to live again. It runs a vividly nightmarish course through a hurricane, a battlefield, and a merciless boxing ring-turned-tomb, before finally awakening in a town with beautiful flowers. A seemingly endless downpour followed by the Sun slowly breaking through the clouds once again.","""I knew there I'd die alone with no one to reach to. But an angel came down and brought me back to you"" + The contrast with the later lyric: ""And there in the square he laid down without face, without crown. And the angel who looked upon him, she never came down."" + The powerfully uplifting final five minutes",English,,,,,$-vinyldl,,2020-12-31,Sun Kil Moon - Duk Koo Kim,,00042,2020-12-31 00042,HM,HM,2,#783f04,#f9cb9c,
